cell_azimuth_deg_1,cell_azimuth_deg_2,cell_azimuth_deg_3,cell_azimuth_deg_4,cell_azimuth_deg_5,cell_azimuth_deg_6,cell_azimuth_deg_7,cell_azimuth_deg_8,cell_azimuth_deg_9,cell_azimuth_deg_10,cell_azimuth_deg_11,cell_azimuth_deg_12,cell_azimuth_deg_13,cell_azimuth_deg_14,cell_azimuth_deg_15,cell_elec_tilt_deg_1,cell_elec_tilt_deg_2,cell_elec_tilt_deg_3,cell_elec_tilt_deg_4,cell_elec_tilt_deg_5,cell_elec_tilt_deg_6,cell_elec_tilt_deg_7,cell_elec_tilt_deg_8,cell_elec_tilt_deg_9,cell_elec_tilt_deg_10,cell_elec_tilt_deg_11,cell_elec_tilt_deg_12,cell_elec_tilt_deg_13,cell_elec_tilt_deg_14,cell_elec_tilt_deg_15,cell_mech_tilt_deg_1,cell_mech_tilt_deg_2,cell_mech_tilt_deg_3,cell_mech_tilt_deg_4,cell_mech_tilt_deg_5,cell_mech_tilt_deg_6,cell_mech_tilt_deg_7,cell_mech_tilt_deg_8,cell_mech_tilt_deg_9,cell_mech_tilt_deg_10,cell_mech_tilt_deg_11,cell_mech_tilt_deg_12,cell_mech_tilt_deg_13,cell_mech_tilt_deg_14,cell_mech_tilt_deg_15,cell_txpower_dbm_1,cell_txpower_dbm_2,cell_txpower_dbm_3,cell_txpower_dbm_4,cell_txpower_dbm_5,cell_txpower_dbm_6,cell_txpower_dbm_7,cell_txpower_dbm_8,cell_txpower_dbm_9,cell_txpower_dbm_10,cell_txpower_dbm_11,cell_txpower_dbm_12,cell_txpower_dbm_13,cell_txpower_dbm_14,cell_txpower_dbm_15,rxpower_dbm_1,rxpower_dbm_2,rxpower_dbm_3,rxpower_dbm_4,rxpower_dbm_5,rxpower_dbm_6,rxpower_dbm_7,rxpower_dbm_8,rxpower_dbm_9,rxpower_dbm_10,rxpower_dbm_11,rxpower_dbm_12,rxpower_dbm_13,rxpower_dbm_14,rxpower_dbm_15,rsrp_dbm,rx_loc1,rx_loc2
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-142.02081298828125,-126.14313507080078,-151.09507751464844,-141.709228515625,-142.78878784179688,-161.52200317382812,-158.6056671142578,-142.45083618164062,-150.38558959960938,-135.6282196044922,-146.48580932617188,-114.70602416992188,-138.70582580566406,-132.4057159423828,-158.62721252441406,-114.70602416992188,77.49472222222222,13.008888888888889
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.72665405273438,-123.63417053222656,-148.79090881347656,-137.427490234375,-138.5406036376953,-157.21871948242188,-155.0413055419922,-139.16043090820312,-147.2939910888672,-135.64720153808594,-146.65194702148438,-114.5440673828125,-136.43563842773438,-129.78512573242188,-156.37034606933594,-114.5440673828125,77.49472222222222,13.009166666666667
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.7353515625,-123.343505859375,-148.6797332763672,-137.10777282714844,-138.23651123046875,-156.88856506347656,-155.5639190673828,-139.7578125,-148.31558227539062,-135.63864135742188,-146.7943878173828,-114.3497543334961,-135.0366668701172,-128.00033569335938,-154.97686767578125,-114.3497543334961,77.49472222222222,13.009444444444444
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.75169372558594,-122.89138793945312,-148.34751892089844,-137.32774353027344,-138.43484497070312,-157.1229248046875,-156.36178588867188,-140.47296142578125,-149.64024353027344,-135.635498046875,-146.94619750976562,-114.15496826171875,-136.32858276367188,-128.83883666992188,-156.25941467285156,-114.15496826171875,77.49472222222222,13.009722222222223
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.7761993408203,-122.4285888671875,-148.00732421875,-138.12110900878906,-139.20628356933594,-157.9303436279297,-157.1596221923828,-141.18548583984375,-150.99435424804688,-135.63800048828125,-147.10769653320312,-113.96135711669922,-136.23654174804688,-128.2862091064453,-156.15708923339844,-113.96135711669922,77.49472222222222,13.01
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.80978393554688,-121.87532043457031,-147.54542541503906,-139.76461791992188,-140.80845642089844,-159.59902954101562,-155.87660217285156,-139.73345947265625,-150.29881286621094,-135.6466064453125,-147.2794647216797,-113.77000427246094,-136.07852172851562,-127.6287612915039,-155.97830200195312,-113.77000427246094,77.49472222222222,13.010277777777778
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.8531036376953,-121.38964080810547,-147.18692016601562,-139.1236572265625,-140.1449432373047,-158.97105407714844,-157.82583618164062,-141.59165954589844,-152.86846923828125,-135.6614990234375,-147.4617919921875,-113.580078125,-138.0102081298828,-129.08584594726562,-157.8969268798828,-113.580078125,77.49472222222222,13.010555555555555
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.83554077148438,-120.89278411865234,-146.81980895996094,-139.481201171875,-140.479736328125,-159.34115600585938,-154.03231811523438,-137.70477294921875,-149.7301025390625,-135.68321228027344,-147.65528869628906,-113.39226531982422,-136.2552032470703,-126.84992980957031,-156.1277313232422,-113.39226531982422,77.49472222222222,13.010833333333334
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.97283935546875,-120.55023193359375,-146.68202209472656,-138.48086547851562,-139.49574279785156,-158.3318634033203,-152.86387634277344,-136.60801696777344,-149.25335693359375,-135.71192932128906,-147.86026000976562,-113.20277404785156,-135.7659912109375,-125.94042205810547,-155.6463165283203,-113.20277404785156,77.49472222222222,13.011111111111111
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-139.66261291503906,-119.94866943359375,-146.17965698242188,-141.4542236328125,-142.42654418945312,-161.32798767089844,-152.4008026123047,-135.96376037597656,-149.52024841308594,-135.74871826171875,-148.07785034179688,-113.02168273925781,-135.6761016845703,-125.3255386352539,-155.5294189453125,-113.02168273925781,77.49472222222222,13.011388888888888
