cell_azimuth_deg_1,cell_azimuth_deg_2,cell_azimuth_deg_3,cell_azimuth_deg_4,cell_azimuth_deg_5,cell_azimuth_deg_6,cell_azimuth_deg_7,cell_azimuth_deg_8,cell_azimuth_deg_9,cell_azimuth_deg_10,cell_azimuth_deg_11,cell_azimuth_deg_12,cell_azimuth_deg_13,cell_azimuth_deg_14,cell_azimuth_deg_15,cell_elec_tilt_deg_1,cell_elec_tilt_deg_2,cell_elec_tilt_deg_3,cell_elec_tilt_deg_4,cell_elec_tilt_deg_5,cell_elec_tilt_deg_6,cell_elec_tilt_deg_7,cell_elec_tilt_deg_8,cell_elec_tilt_deg_9,cell_elec_tilt_deg_10,cell_elec_tilt_deg_11,cell_elec_tilt_deg_12,cell_elec_tilt_deg_13,cell_elec_tilt_deg_14,cell_elec_tilt_deg_15,cell_mech_tilt_deg_1,cell_mech_tilt_deg_2,cell_mech_tilt_deg_3,cell_mech_tilt_deg_4,cell_mech_tilt_deg_5,cell_mech_tilt_deg_6,cell_mech_tilt_deg_7,cell_mech_tilt_deg_8,cell_mech_tilt_deg_9,cell_mech_tilt_deg_10,cell_mech_tilt_deg_11,cell_mech_tilt_deg_12,cell_mech_tilt_deg_13,cell_mech_tilt_deg_14,cell_mech_tilt_deg_15,cell_txpower_dbm_1,cell_txpower_dbm_2,cell_txpower_dbm_3,cell_txpower_dbm_4,cell_txpower_dbm_5,cell_txpower_dbm_6,cell_txpower_dbm_7,cell_txpower_dbm_8,cell_txpower_dbm_9,cell_txpower_dbm_10,cell_txpower_dbm_11,cell_txpower_dbm_12,cell_txpower_dbm_13,cell_txpower_dbm_14,cell_txpower_dbm_15,rxpower_dbm_1,rxpower_dbm_2,rxpower_dbm_3,rxpower_dbm_4,rxpower_dbm_5,rxpower_dbm_6,rxpower_dbm_7,rxpower_dbm_8,rxpower_dbm_9,rxpower_dbm_10,rxpower_dbm_11,rxpower_dbm_12,rxpower_dbm_13,rxpower_dbm_14,rxpower_dbm_15,rsrp_dbm,rx_loc1,rx_loc2
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-140.0947,-141.907,-116.7073,-145.2059,-125.7354,-121.2683,-121.5454,-141.048,-145.5816,-138.2883,-138.2883,-135.6599,-124.7831,-118.3858,-113.8903,-113.8903,77.5047222222222,13.024166666666698
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-141.2856,-142.1914,-116.6324,-145.4594,-125.8619,-121.4341,-121.9384,-141.6155,-145.8328,-138.9214,-138.9214,-136.5137,-125.1644,-118.6938,-114.2387,-114.2387,77.5047222222222,13.024444444444402
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-142.4381,-142.4773,-116.5968,-145.7055,-125.9903,-121.6049,-122.3272,-142.1628,-146.0834,-139.5257,-139.5257,-137.2939,-125.5281,-118.9914,-114.5823,-114.5823,77.5047222222222,13.024722222222199
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-143.1785,-142.7603,-116.5906,-145.9456,-126.1194,-121.7729,-122.7038,-142.6891,-146.3279,-140.0927,-140.0927,-138.0168,-125.8774,-119.2793,-114.9129,-114.9129,77.5047222222222,13.025
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-143.4628,-143.0401,-116.6088,-146.1797,-126.2484,-121.9378,-123.0693,-143.1964,-146.5665,-140.6256,-140.6256,-138.6887,-126.2137,-119.5584,-115.2318,-115.2318,77.5047222222222,13.0252777777778
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-143.7431,-143.316,-116.6481,-146.4079,-126.3781,-122.1015,-123.4233,-143.6848,-146.7994,-141.1281,-141.1281,-139.3153,-126.5378,-119.829,-115.5397,-115.5397,77.5047222222222,13.025555555555599
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-144.0192,-143.5879,-116.7062,-146.6306,-126.5075,-122.2634,-123.7674,-144.1565,-147.0268,-141.6035,-141.6035,-139.9026,-126.8504,-120.0916,-115.8371,-115.8371,77.5047222222222,13.025833333333301
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-144.2916,-143.8562,-116.7802,-146.8479,-126.6363,-122.4231,-124.1015,-144.6116,-147.2493,-142.0562,-142.0562,-140.4565,-127.1521,-120.3465,-116.1251,-116.1251,77.5047222222222,13.0261111111111
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-144.5595,-144.1199,-116.8673,-147.0601,-126.7648,-122.5812,-124.4267,-145.0515,-147.467,-142.4878,-142.4878,-140.9792,-127.4446,-120.5955,-116.40700000000001,-116.40700000000001,77.5047222222222,13.026388888888901
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-118.286,-142.9263,-147.8508,-131.5482,-142.5199,-143.3635,-133.963,-116.1807,-114.9813,-118.8755,-120.8713,-127.5846,-140.0484,-144.4547,-145.6962,-114.9813,77.505,13.008888888888901
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-118.0727,-142.9997,-147.6569,-131.4949,-142.1653,-143.0029,-133.2862,-115.7649,-114.6457,-118.6571,-120.6579,-127.3648,-139.6742,-144.1605,-145.3937,-114.6457,77.505,13.0091666666667
150,259,0,108,52,33,67,124,142,193,150,246,73,316,9,14,8,11,2,4,16,20,6,14,18,18,1,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,-117.8567,-143.0836,-147.4593,-131.4573,-141.7971,-142.6281,-132.5805,-115.3379,-114.3043,-118.4331,-120.4393,-127.1394,-139.2845,-143.856,-145.0805,-114.3043,77.505,13.009444444444402
